id,iata_code,iata_city_code,iata_country_code,name,inserted_at,updated_at,source_type,alternative_names,icao_code,disabled_at,city_name,latitude,longitude,time_zone
arp_lkn_no,LKN,LKN,NO,Leknes Airport,2023-03-17T13:41:37.574931Z,2023-03-17T13:41:37.574931Z,ALGORITHM,{},ENLK,,Leknes,68.153242,13.611679,Europe/Oslo
arp_nsz_cn,NSZ,NSZ,CN,Ferry Port,2019-12-23T11:21:49.927736Z,2019-12-23T11:21:49.927736Z,,,,,,,,
arp_zti_cn,ZTI,ZTI,CN,Humen Airport,2019-12-23T11:21:57.125448Z,2019-12-23T11:21:57.125448Z,,,,,,,,
arp_ziy_cn,ZIY,ZIY,CN,Lianhuashan Port Airport,2019-12-23T11:21:57.025664Z,2019-12-23T11:21:57.025664Z,,,,,,,,
arp_php_us,PHP,PHP,US,Philip Airport,2023-03-17T13:41:37.589986Z,2023-03-17T13:41:37.589986Z,ALGORITHM,{},KPHP,,Philip,44.049538,-101.6001,America/Denver
arp_cep_bo,CEP,CEP,BO,Concepción Airport,2023-03-17T13:41:37.575369Z,2023-03-17T13:41:37.575369Z,ALGORITHM,{},SLCP,,Concepción,-16.140382,-62.027503,America/La_Paz
arp_grt_pk,GRT,GRT,PK,Gujrat Airport,2023-03-17T13:41:37.595184Z,2023-03-17T13:41:37.595184Z,ALGORITHM_AND_MANUAL_REVIEW,{},,,Gujrat,32.5667,74.0833,Asia/Karachi
arp_rgo_kp,RGO,RGO,KP ,Orang Airport,2020-03-18T16:31:18.926046Z,2020-03-18T16:31:18.926046Z,ALGORITHM_AND_MANUAL_REVIEW,{},ZKHM,2020-03-02T14:55:47.012887,,41.429119,129.648178,Asia/Pyongyang
arp_lbl_us,LBL,LBL,US,Liberal Mid-America Regional Airport,2023-03-17T13:41:37.575398Z,2023-03-17T13:41:37.575398Z,ALGORITHM,{},KLBL,,Liberal,37.044859,-100.958449,America/Chicago
arp_ssi_us,SSI,SSI,US,Malcolm McKinnon Airport,2023-03-17T13:41:37.61245Z,2023-03-17T13:41:37.61245Z,ALGORITHM,{},KSSI,,Brunswick,31.152689,-81.390179,America/New_York
arp_pbp_cr,PBP,PBP,CR,Punta Islita Airport,2023-03-17T13:41:37.575016Z,2023-03-17T13:41:37.575016Z,ALGORITHM_AND_MANUAL_REVIEW,{},MRIA,,Islita,9.856429,-85.370709,America/Costa_Rica
arp_sgx_tz,SGX,SGX,TZ,Songea Airport,2023-03-17T13:41:37.625049Z,2023-03-17T13:41:37.625049Z,ALGORITHM,{},HTSO,,Songea,-10.682779,35.583048,Africa/Dar_es_Salaam
arp_mfg_pk,MFG,MFG,PK,Muzaffarabad Airport,2023-03-17T13:41:37.575426Z,2023-03-17T13:41:37.575426Z,ALGORITHM,{},OPMF,,Muzaffarabad,34.340194,73.507217,Asia/Karachi
arp_dbd_in,DBD,DBD,IN,Dhanbad Airport,2023-03-17T13:41:37.60043Z,2023-03-17T13:41:37.60043Z,ALGORITHM,{},VEDB,,Dhanbad,23.833974,86.425653,Asia/Calcutta
arp_cof_us,COF,COF,US,Patrick Air Force Base,2023-03-17T13:41:37.575053Z,2023-03-17T13:41:37.575053Z,ALGORITHM_AND_MANUAL_REVIEW,{},KCOF,,Cocoa Beach,28.23673,-80.609889,America/New_York
arp_sro_co,SRO,SRO,CO,Santana Ramos Airport,2023-03-17T13:41:37.575454Z,2023-03-17T13:41:37.575454Z,ALGORITHM_AND_MANUAL_REVIEW,{},,,Santana Ramos,2.21667,-75.25,America/Bogota
arp_tza_bz,TZA,BZE,BZ,Belize City Municipal Airport,2023-03-17T13:41:37.575481Z,2023-03-17T13:41:37.575481Z,ALGORITHM_AND_MANUAL_REVIEW,{},,,Belize City,17.516191,-88.194597,America/Belize
arp_eok_us,EOK,EOK,US,Keokuk Municipal Airport,2023-03-17T13:41:37.575514Z,2023-03-17T13:41:37.575514Z,ALGORITHM,{},KEOK,,Keokuk,40.460048,-91.428081,America/Chicago
