id,iata_code,iata_country_code,name,inserted_at,updated_at,metropolitan_area
cit_abi_us,ABI,US,Abilene,2019-07-30T16:35:27.760998,2019-07-30T16:35:27.760998,
cit_act_us,ACT,US,Waco,2019-07-30T16:35:27.766898,2019-07-30T16:35:27.766898,
cit_adm_us,ADM,US,Ardmore,2019-07-30T16:35:27.772089,2019-07-30T16:35:27.772089,
cit_adq_us,ADQ,US,Kodiak,2019-07-30T16:35:27.777404,2019-07-30T16:35:27.777404,
cit_aex_us,AEX,US,Alexandria,2019-07-30T16:35:27.782213,2019-07-30T16:35:27.782213,
cit_akl_nz,AKL,NZ,Auckland,2019-07-30T16:35:27.796521,2019-07-30T16:35:27.796521,
cit_alm_us,ALM,US,Alamogordo,2019-07-30T16:35:27.801901,2019-07-30T16:35:27.801901,
cit_aly_eg,ALY,EG,Alexandria,2019-07-30T16:35:27.805963,2019-07-30T16:35:27.805963,
cit_ama_us,AMA,US,Amarillo,2019-07-30T16:35:27.810747,2019-07-30T16:35:27.810747,
cit_amm_jo,AMM,JO,Amman,2019-07-30T16:35:27.815397,2019-07-30T16:35:27.815397,
cit_anc_us,ANC,US,Anchorage,2019-07-30T16:35:27.819929,2019-07-30T16:35:27.819929,
cit_ank_tr,ANK,TR,Ankara,2019-07-30T16:35:27.824413,2019-07-30T16:35:27.824413,
cit_apw_ws,APW,WS,Apia,2019-07-30T16:35:27.828042,2019-07-30T16:35:27.828042,
cit_atl_us,ATL,US,Atlanta,2019-07-30T16:35:27.831288,2019-07-30T16:35:27.831288,
cit_atp_pg,ATP,PG,Aitape,2019-07-30T16:35:27.834478,2019-07-30T16:35:27.834478,
cit_auh_ae,AUH,AE,Abu Dhabi,2019-07-30T16:35:27.836891,2019-07-30T16:35:27.836891,
cit_aus_us,AUS,US,Austin,2019-07-30T16:35:27.839385,2019-07-30T16:35:27.839385,
cit_auw_us,AUW,US,Wausau,2019-07-30T16:35:27.849474,2019-07-30T16:35:27.849474,
cit_bak_az,BAK,AZ,Baku,2019-07-30T16:35:27.852329,2019-07-30T16:35:27.852329,
cit_beg_rs,BEG,RS,Belgrade,2019-07-30T16:35:27.854678,2019-07-30T16:35:27.854678,
cit_ber_de,BER,DE,Berlin,2019-07-30T16:35:27.85705,2019-07-30T16:35:27.85705,
cit_bet_us,BET,US,Bethel,2019-07-30T16:35:27.859457,2019-07-30T16:35:27.859457,
cit_bfs_gb,BFS,GB,Belfast,2019-07-30T16:35:27.862034,2019-07-30T16:35:27.862034,
cit_bjs_cn,BJS,CN,Beijing,2019-07-30T16:35:27.867348,2019-07-30T16:35:27.867348,
cit_bkk_th,BKK,TH,Bangkok,2019-07-30T16:35:27.869696,2019-07-30T16:35:27.869696,
cit_bos_us,BOS,US,Boston,2019-07-30T16:35:27.872691,2019-07-30T16:35:27.872691,
cit_bpt_us,BPT,US,Beaumont/Port Arthur,2019-07-30T16:35:27.87592,2019-07-30T16:35:27.87592,
cit_bru_be,BRU,BE,Brussels,2019-07-30T16:35:27.878396,2019-07-30T16:35:27.878396,
cit_bue_ar,BUE,AR,Buenos Aires,2019-07-30T16:35:27.880843,2019-07-30T16:35:27.880843,
cit_buh_ro,BUH,RO,Bucharest,2019-07-30T16:35:27.883367,2019-07-30T16:35:27.883367,
cit_bwi_us,BWI,US,Baltimore,2019-07-30T16:35:27.885917,2019-07-30T16:35:27.885917,
cit_byh_us,BYH,US,Blytheville,2019-07-30T16:35:27.88829,2019-07-30T16:35:27.88829,
cit_bze_bz,BZE,BZ,Belize City,2019-07-30T16:35:27.890504,2019-07-30T16:35:27.890504,
